,id,dev response date,dev response,review date,userName,rating,isEdited,review title,review
14,37863177.0,2023-07-24T10:37:26Z,"Thank you for taking the time to share your experience and provide us with this feedback, we will forward your suggestions. If you do need direct support, want to ask a question or provide additional feedback, please visit https://community.spectrum.net/discussion/169249/troubleshooting-issues-with-the-my-spectrum-app ^RJR
",2023-07-23 00:20:56,.: LoveFire :.,3,False,Bugs bugs and missing features,"Hello, 

i have some things that really need to be addressed with the app. I hope a fix can come soon. 

(1) When you managing devices and viewing your device list, there is ablity to create a pause schedule. but there is NO ability to remove a pause schedule!! please add this ability its common sense to have a remove feature if you have a add feature. 

(2) addtionally with pause schedules, please add the ability to create more then one schedule for any one device

(3) add a feature that allows you to create a notification when a specific device is being used. (connected doesnt mean its being used by a person, so this would have to be based on the amount of network activity the device is having. 

These are great features and tool to have. i hope to see them soon. the family desperate needs them, thanks you :)"
15,,,,2023-07-07 19:32:46,why do I use this service,4,False,"App is great, service is terrible","I do enjoy using the app, but your Internet service is terribly unreliable. I would never recommend the service to a friend, family member, or coworker. Second outage this week and your company credited me $6.44 for a full day without service, which I lost several hundreds of dollars by not being able to work without the Internet. Shame on your company, completely unreliable service. I am currently searching for a new provider."
16,,,,2023-07-08 03:21:41,Fj 22,5,False,To Jailyn for her services.,"Ms Jailyn from Wisconsin was our assistant and helped us through all that we needed. She was an amazing, patient, kind and we really just wanted to share how much we have appreciated her help. This is from Mr. Jama and his daughter Fathi. Thank you so much Jailyn for your incredible service. We have talked to other customer service representatives before but none of them were nearly as phenomenal as you were."
17,,,,2023-07-03 23:52:00,itsZETIMEtoPARTY!!!!!!!!!!!,1,False,The worst service,"I would avoid spectrum at all costs. They couldn’t even keep the internet working. Random outages during the day with no explanation. Impossible to work from home and not miss important meetings. All they told me is “they’re upgrading equipment for summer, you can go work at one of the places with a spectrum hotspot.” No way. Not a solution. After three times in one week I switched to ATT fiber and have not had a single issue in months. Also, spectrum will raise your bill, or try to bundle you with a bunch of crap you don’t need every year. I hate this company and hope goes down like the dumpster fire it truly is. :)"
18,,,,2023-07-15 16:22:31,Sandra232,3,False,Mistakes,You could add a cancellation feature even after the payment has been made when people are in a hurry it is easy to make a mistake. Spectrum could make it a lot easier to fix this as all other bill pay sights have then calling the bank and spectrum only to get no where after that happened to me I quit using the app for awhile only reason I used it today is my granddaughter has my phone and I couldn’t call not sure about next payment we will see
19,,,,2023-07-30 14:07:41,Tha best hands down..,5,False,Grateful for the savings,"In these times where everything is getting expensive and folks are finding it hard to do the things they could pre Covid . I am grateful for spectrum for giving us some savings and relief to still enjoy our lives and relax in our home and enjoy our shows and movies 
   Thank you for the opportunity to help us save a few coins"
20,36928911.0,2023-06-05T10:32:23Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution. ^RJR",2023-06-03 21:21:46,Angie88:(,1,False,Not satisfied,"Super dissatisfied with this service. Often times, the internet doesn’t even work. On top of that, I was provided with a modem/router that is on “lock-down” so I’m unable to view or manipulate my settings as needed. 

However, in an effort to double check the “outage” isn’t due to faulty wiring in the wall outlet, I went from room to room to double check…so imagine my surprise when I learned that NO OTHER ROOMS had a working outlet!! 😡 That’s just  slack work & bad business.  All while the prices are going up and up. I have attempted to reach out to rectify these issues and would appreciate and call back. Thanks in advance."
21,,,,2023-06-30 10:14:39,EzioAuditore69,4,False,Just loads,Would give it a 5 star rating if it worked . Now it takes about 5 hours of trying to get it to open and all it says is try again over and over and over and over . Used to work without any problems but the last few months .it doesn’t work good . Fix whatever is keeping it just loading over and over then it will get a 5 star rating .
22,,,,2023-06-24 15:52:51,Bloody Aimz,5,False,Can’t complain,"Other than prices gradually increasing just like everything else in this world you can’t complain about spectrum compared to other internet companies, they have their outages but they fix them as soon as possible and have always been quick and easy through the app."
23,,,,2023-06-08 18:54:48,wammsy,1,False,"Great App, unreliable Service","Their app is sleek and is great! However living in the Dallas-Fort Worth Area ought to have better service.
This reliability of Spectrums internet service is not conducive to working from home or hybrid work. 
Monthly subscriptions should be prorated and the bill should be proportional to the amount of internet uptime. If the bill is $60 for a month with thirty days and I have a total downtime of 24 hours of internet downtime then the bill should only be $58.
Despite great customer service, I will be subscribing to another more reliable provider when we move."
24,37099778.0,2023-06-13T15:50:42Z,"We're sorry that you're having issues with your internet service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution. ^RJR",2023-06-12 11:55:10,XYZKeith,2,False,Consistent Outages,"I moved to a new home in O’Fallon Missouri, and start at my spectrum services here. Since moving in there are daily outages. I work from home and have to use my hotspot more than 50% of the time daily. Two technicians have been out, and one change the modem. This morning I get out to find that there is an outage in my area again! please fix this problem. I would expect my bill should be less than it is, as I have had less service, but I am paying the full price."
25,,,,2023-07-30 14:00:52,"John Klopp- Greensboro, NC",5,False,Enjoy the quick service of the account updating,"I really enjoy when I pay my bill that the funds are withdrawn quickly, my account is updated quickly and I have the receipt in my email within seconds.

This is a great service that Duke Energy has implemented."
26,,,,2023-07-20 15:59:54,amorgan6,4,False,4 stars,Only downside is this app doesn’t store debit cards or account numbers. So each time I have to grab my wallet etc which is a bit inconvenient. The application will let you sign up for auto pay but I still want control just in case something happens or an outage etc and I want to inquire more information prior. But overall it is a good application.
27,,,,2023-07-20 23:41:07,Misstiffney,5,False,Absolutely fantastic!!,"Love this app!! You can do anything + some on it. Pay your bills & view statements for phone or internet bills, edit your plans, view your channel lineup, troubleshoot problems, change Wi-Fi name or PW, restart your modem or router, chat with someone to help you with any issues, & so much more!! It’s so easy & helpful!!"
28,,,,2023-07-09 18:11:04,Bal1234,5,False,I want the service bad!,This has nothing to do with a issue. I am making a comment because I hope the CEO of Spectrum sees this comment. I know it’s coming to my area please hurry so many people in my area is want to get rid of the company we are with now. I CANNOT WAIT TO GET ON WITH YOU GUYS!! I even have the app downloaded already bc I am that ready lol!
29,,,,2023-06-05 21:27:01,Kevinobz,5,False,Review,"We were debating on moving our internet services to ATT due to the constant outages. However, you guys continue to provide excellence with your customer support, technicians and your locked in prices. That’s not something I believe ATT can offer. Anytime we have ever had an issue Spectrum has responded quickly."
30,,,,2023-07-23 22:53:18,flanny330,5,False,Reliability & Easy to use,"This app is phenomenal.  It has everything you need to be able to manage your account, make changes, as well as even addd services and see what your bill will be.  Tremendous job by the creators of this app who continue to make sure Spectrum stays a fortune 50 company."
31,,,,2023-07-16 21:00:56,Karenm366,4,False,New customer,Will update review at later date as we haven’t had Spec for very long! We can say that everyone we have spoken to so far is much more helpful than Comcast ever was & they all speak English as a first language that’s a PLUS right from the start!!!! There are things we don’t like but are giving them a chance.  Good job Spectrum so far!
32,,,,2023-07-11 17:07:06,Old wood Jeff,4,False,Video recording,"I have been using DISH for tv access and show recording.  Their system is easier to use and allows for more recording and viewing options.  I’m not on their hopper system but one from maybe 20 years ago.  Recording, viewing and deleting is still easier and smoother than my spectrum system."
33,,,,2023-06-26 02:08:40,JD5662,5,False,Payments,"As long as I can pay through my checking account that would make it better. Would not put on automatic payment because I get paid at different times. This time I didn’t know I was past due. Usually I’m good at paying my bills on time.
Thanks"
34,,,,2023-06-10 02:38:56,🔰123,5,False,"Mindful Consideration, Vision","Spectrum 
Extended thanks for always providing us amazing reliable service & support @ realistic rates. Thank Goodness for your consideration of others making sure everyone has the ability to access their lives and world events equally. Thanks again Spectrum for the unparalleled service"
35,,,,2023-07-24 17:43:22,bonqueetea,5,False,The app is convenient,"It’s straight forward and tells you when service is down. They also inform you of some deals. When I started using this I had $100 internet, but they downed my bill to be $64.  Only to be more affordable. They offered it to me."
36,,,,2023-07-21 12:58:14,AL Frazier,5,False,I need bill adjustment,"Enjoying the app but not so much the service my internet/ Wi-Fi goes out every time rain comes, I’m paying $300 month more than my light bill and I’m not using phone service that customer service won’t take off my bill"
37,37956890.0,2023-07-28T11:33:23Z,We're sorry to hear that you're having issues with your service and we would like to help. Please contact us on Facebook (http://facebook.com/spectrum) Twitter (https://twitter.com/Ask_Spectrum) or visit our customer community page (https://community.spectrum.net) so that we can help provide you with a solution. ^RJR,2023-07-27 08:22:19,amazonhateee,1,False,Very frustrated!,"Why does when some else wifi go out it causes mine to have a outage . Nothing ever is wrong with my Wi-Fi ! And when it rains it always goes out . I swear I don’t dish , so I’m understanding why my Wi-Fi is going out every time the weather changes ! My Wi-Fi router is inside not outside . I don’t know who we need to get to upgrade and make this happen but it needs to happen ! I’m pretty sure me and 6  billion other people on the planet are tired of these interruptions ! We don’t pay our bills for this ! Thank u"
38,,,,2023-07-07 02:31:32,Scottyjsales,5,False,Spectrum,So far awesome service fast internet no outages wifi router not the best had to buy another one but it is a big house so it was expected would be nice if they sent a tech to install it though Incase you have trouble hooking it up guess I could have asked also lol
39,,,,2023-06-03 22:48:08,The Young’s,5,False,New modem and router,Nathan was great.  As soon as I told him my new devices were not listed on my online account he knew exactly what to do.  He had me give him some numbers off the back of both of them and was able to update my account.  Excellent service!
40,,,,2023-06-01 14:37:14,Detroit rocks!!,5,False,My experience,This is the fastest payment center ever thank you so much this help me out big time I don’t have to worry about getting up and dressed and walk out my front door to make a drive and I can do this from my phone smart move thank you !
41,36910919.0,2023-06-04T14:52:32Z,"For direct support, please visit https://community.spectrum.net/discussions ^JF   (271 char remain)",2023-06-02 21:53:31,Book&MusicLover14,1,False,App doesn’t work and don’t even try calling customer support.,"Tried calling customer support about a billing issue with my account. The person on the phone said they couldn’t help me and I had to go through the website/app. The app won’t load my billing and the website states that they have my credit card information and will bill it in a few days, but I keep getting calls and texts stating my bill is past due. Do better spectrum, do better."
42,,,,2023-06-21 15:25:01,Bear Bear 2,5,False,Easy app and a Great company.,Couldn’t ask for better service once the human gets involved . Computer makes getting and fixing some things done easy but when I need a human it’s a little difficult. Overall I’m happy 😀
43,,,,2023-06-22 19:43:26,Stixxmann,4,False,Useful for basics,"Useful to pay Spectrum, but not really useful to the user. I can’t access my router and there are no controls for it. I can’t get anything other than data usage per line for the phones. 

I know they have way more information visible on their end, but we don’t get any of that…"
44,,,,2023-07-02 10:29:32,Chocolate855,5,False,Internet service,"I’ve had spectrum for  about a year and a half, my fiancé works from home so we have the fast speed that’s available. We’ve had zero issues. Price is a little high but prices are high every where."
45,34804040.0,2023-02-11T00:31:17Z,"We are sorry to hear you’re having issues with the My Spectrum app. Please contact us by private message on Facebook (m.me/Spectrum) or on Twitter (https://twitter.com/ask_spectrum). To provide additional feedback on our Community, please visit https://community.spectrum.net/discussion/169249/troubleshooting-issues-with-the-my-spectrum-app 
",2023-06-25 14:21:58,Buttercane,1,True,"Horrible company, immorale business","This company is rotten all the way up to its intensely corporate top layers. Forcing you to buy sub par internet and throttling you at every step of the way. 

If you do end up paying for their services, where many places like apartments force you to do, you will still get 2-3 calls a day from spam spectrum shilling other useless products.

The app on top of this steaming pile of **** hardly ever works, double charges your cards, and is perhaps the most unintuitive user experience ever designed.

They seem to be hyper greedy at the expense over you and everyone else they serve. Don’t expect good internet, service, or ease of use.

Do your best to get another internet provider like Starlink or AT&T. Anything is better than the conniving internet provider known as Spectrum."
46,,,,2023-06-28 20:05:53,dclatk,5,False,Spectrum Experience,I have to give big kiddos to Spectrum The salesman and installer was top notch Very knowledgeable about everything. Nice guys I am so excited I’ll be saving so much money. My service so far has not had any problems. The help desk when I called we’re very helpful.
47,,,,2023-06-21 13:32:28,Mkdd9003,4,False,Ssrvice,"We have amazing service, but being the only provider in town it amazes me they make us pay $85 a month when I started at $50. We’ve honestly talked about shutting down service as this costs as much as our water bill monthly which is extremely ridiculous."
48,,,,2023-07-13 17:10:44,HellHound68,5,False,Great service,"I have had an amazing experience with their service, they may have a long wait Time in store but with what you get from them it’s worth the long wait and having uninterrupted service always"
49,,,,2023-07-06 01:15:34,CustomTShirtKings🤴🏻,5,False,Awesome Internet,Love Spectrum! Especially the real customer service that actually helps with every issue and goes over and beyond to help you understand and also fix issues immediately! Give them all a raise!!😎😀
50,,,,2023-06-02 14:08:18,kelly drury,5,False,On updated app.,I’ve been about two days on updating this app on my phone. And it still hasn’t updated yet. The others updated within seconds. Don’t know what going on. Too slow on updating.
51,,,,2023-06-01 09:42:17,Blove hill jack,5,False,Way to go guys!!!,"I’m a new customer, so far I’m very pleased with my service. Once I got a handle on my payment due dates I have no complaints and I would recommend this service to everybody. Good job Spectrum, I have a feeling like I’ll be a customer forever."
52,,,,2023-07-20 23:57:40,uomoefalacce,5,False,Love,I love it I love it I love it I love it yeah you know I love it all I know I love it there you know now that I know that you know that I love it I love it and you know that I love it thank you very much oh my god this is a great experience in my life. This app is changing everything in ways that I never expected.
53,,,,2023-06-26 19:39:55,Kendra🤫,4,False,One-Click Away,"In my opinion, one of the best thing about this app is that it’s so convenient for your everyday cable, internet, or phone services. You are always connected to your services. One thing, I dislike is that the app my delay on notifying customers of outages."
54,,,,2023-07-20 22:37:29,Sirisumana,5,False,Need a switch,App works great. But I prefer to have a switch on mobile side to turn on and off roaming facility. It will help users to control their roaming features while they are abroad. And will help to prevent by unwanted changes. Thanks
55,37844911.0,2023-07-23T13:06:17Z,"Thanks for taking the time to share your experience with us. Sorry to hear that your internet is not working correctly. For direct support, please reach out to us on Twitter (https://twitter.com/Ask_Spectrum) or on Facebook (m.me/Spectrum) or visit our community located at https://community.spectrum.net/discussions ^JF     ",2023-07-22 05:54:15,FilmStudent420,1,False,I’m paying for a lack of internet,This is the very worst internet provider I’ve ever experienced in my life. I wish there was literally any other option but this is the only one in my area. There’s constant outages & ridiculous pricing for services I never get to use. I restart my router constantly hoping my phone or devices will connect. Hosting any get-together with friends is embarrassing when the smart tv or speakers just don’t work at all.
56,,,,2023-06-01 19:34:56,My conversations,5,False,Anita help,I had a bad experience last week and was very upset. My chat with Desiree was very good but not with the girl and I can’t remember her name but she lied to me about the tablet. Today I spoke with LaKesha and that was also a great and very helpful conversation I appreciate people like her and Desiree.
57,,,,2023-07-29 13:34:51,AZErnie,5,False,3 year customer,Service has only never been cut off even after being late on payment they are very flexible and understanding. Only lost service once in very bad weather.
58,,,,2023-06-27 11:44:07,cmjack,4,False,Everything you need from your provider,"This app has all the features and information you might need from your provider such as troubleshooting, service alerts and billing so there is no need to call for service."
59,,,,2023-06-22 13:02:24,buikkdhhr,5,False,Fantastic app,"They make it ridiculously easy to pay your bill, which is really convenient and I have never came across the problem while using this app"
60,,,,2023-06-05 02:36:09,FilmBobster,2,False,Used to work great,"I really don’t use the app to do anything besides pay my monthly bill. And it was great at streamlining the process for that. But with the latest update, my Billing page, along with a lot of the other information that used to show up, are all blank. I’ve tried reinstalling, clearing caches, etc, but to no avail. Please make it easy to give you money again."
61,37848007.0,2023-07-23T20:34:21Z,"Thanks for taking the time to share your experience with us. Sorry to hear that your internet is not working correctly. For direct support, please reach out to us on Twitter (https://twitter.com/Ask_Spectrum) or on Facebook (m.me/Spectrum) or visit our community located at https://community.spectrum.net/discussions ^JF     ",2023-07-22 15:01:12,Jjjjordddaaannn,3,False,Wifi,I pay 80$ for just wifi and I live in house 650 sq feet and I don’t even get service in my own bedroom let alone in my driveway when I’m in the garage . I don’t know why you charge so much when it doesn’t even work good. Other places are charging 45$ and work so much better . You guys need to figure that one out
62,,,,2023-06-23 16:30:45,Aulani Hirayama,5,False,Love the App,It’s so convenient and so easy to navigate and pau your bill with just two clicks of a button.  They notify you when your bill is paid via text. I highly advice to download app!!!
63,,,,2023-07-25 20:47:30,Concrete Strong,5,False,Great App,"I enjoy and appreciate my Spectrum App it makes paying my bill much easier and provides me with all the information I need to maintain my account with your services which I’m very happy with. 

Thank you 

Carlos Leiva"
64,,,,2023-06-04 03:35:17,Raekwonsenju,5,False,All around service,Highly recommend you go to spectrum and using their spectrum app it makes payment so much easier for high quality Internet. Thank you.
65,,,,2023-06-27 00:22:13,Linda 😢,5,False,I love this app!,"Having this app makes reviewing and paying my bill so much easier. It also makes reporting an outages a breeze. , No more having to sit on hold and wait for Customer Service. 🥳"
66,38041806.0,2023-08-02T10:34:24Z,"We are sorry to hear you’re having issues with the My Spectrum app. Please contact us by private message to provide additional feedback on Facebook (m.me/Spectrum), Twitter (https://twitter.com/ask_spectrum) or on our Community forum https://community.spectrum.net/discussion/169249/troubleshooting-issues-with-the-my-spectrum-app ^RJR",2023-07-31 18:10:24,Warrior1960,1,False,Used to be a good app and company,Unfortunately this year Charter/Spectrum has become a sad joke. I used it exclusively for internet services and it’s damned frustrating to only be able to login on my laptop a couple times per month at best. Service calls never get through and communications end up with me being on hold for hours. I’ve finally had it with such terrible customer service and support. 👎👎👎
67,,,,2023-07-07 21:37:15,Vintagetreasure55,5,False,New Beginnings,"A fresh start. Years ago I remember the WiFi Co we delt with was a pain. How things have changed in 20 years. A new company now, with easy communication & in person companionate representatives at the store. So far so good lol."
68,,,,2023-06-05 21:18:38,Cfgggggg,5,False,Review,The app could be better if you could switch between accounts without completely signing out
69,37999020.0,2023-07-31T10:24:57Z,Thanks for taking the time to share your experience with us!  We’re glad to hear that we are providing a quality experience for you. Your excellent review made our day! ^RJR,2023-07-29 19:02:44,Knothead1983,5,False,Awesome,Curtis came in and took care of everything! Told him what I’d like to happen and he had no problem running a new line and installing it. Gonna make my wife happy and daughters happy! Thank you
70,,,,2023-07-27 22:15:25,cece334040,5,False,Great Service,So far so good with setting up the service manually! I was not yet connected to the modem however the steps are easy and to the point and is what I love about Spectrum is the simplicity!
71,,,,2023-06-10 01:39:07,king diaz 21,5,False,Easy to use,It’s easy to use and pay as you go so your bill will be easy to pay in long run. I wish other companies had this !
72,37874978.0,2023-07-24T19:54:02Z,"Thanks for taking the time to share your experience with us. For direct support, please reach out to us on Twitter (https://twitter.com/Ask_Spectrum) or on Facebook (m.me/Spectrum) or visit our community located at https://community.spectrum.net/discussions ^JF     ",2023-07-23 17:38:07,mary272727,3,False,Mobile,"Phone mobile data is ridiculously slow, I know I have a plan that’s cheap but there is no way it should take 10 mins to load I turn my phone off turn the cellular off and it is slow as a snail, no way it should be this way."
